"Dist Code","Year","State Code","State Name","Dist Name","PRIMARY SECTOR CONSTANT PRICES (Millions in Rs)","PRIMARY SECTOR CURRENT PRICES (Millions in Rs)","PRIMARY SECTOR CONSTANT SHARES (Percent)","PRIMARY SECTOR CURRENT SHARES (Percent)","SECONDARY SECTOR CONSTANT PRICES (Millions in Rs)","SECONDARY SECTOR CURRENT PRICES (Millions in Rs)","SECONDARY SECTOR CONSTANT SHARES (Percent)","SECONDARY SECTOR CURRENT SHARES (Percent)","TERTIARY SECTOR CONSTANT PRICES (Millions in Rs)","TERTIARY SECTOR CURRENT PRICES (Millions in Rs)","TERTIARY SECTOR CONSTANT SHARES (Percent)","TERTIARY SECTOR CURRENT SHARES (Percent)","TOTAL CONSTANT PRICES (Millions in Rs)","TOTAL CURRENT PRICES (Millions in Rs)","PER CAPITA CURRENT PRICES (1000 in Rs)"
"5","2011 (2004)","14","Chhattisgarh","Raigarh","8270","14955","15.68","17.21","28871","45861","54.74","52.77","15602","26084","29.58","30.02","52743","86900","58"
"5","2012 (2004)","14","Chhattisgarh","Raigarh","8845","17616","16.0","18.09","29713","49469","53.76","50.81","16714","30275","30.24","31.1","55272","97360","64"
"5","2013 (2004)","14","Chhattisgarh","Raigarh","8947","18742","15.48","17.24","30775","54457","53.24","50.08","18080","35540","31.28","32.68","57802","108738","70"
"6","2007 (2004)","14","Chhattisgarh","Surguja","11702","15030","37.09","37.59","8599","11332","27.26","28.34","11247","13622","35.65","34.07","31548","39984","18"
"6","2008 (2004)","14","Chhattisgarh","Surguja","10028","14694","30.75","31.74","10306","15251","31.6","32.95","12275","16347","37.64","35.31","32609","46292","21"
"6","2009 (2004)","14","Chhattisgarh","Surguja","8972","13739","27.29","29.65","10449","13999","31.79","30.21","13450","18605","40.92","40.15","32872","46343","20"
"6","2010 (2004)","14","Chhattisgarh","Surguja","12635","20758","32.21","34.52","11156","16674","28.44","27.73","15434","22701","39.35","37.75","39225","60133","26"
"6","2011 (2004)","14","Chhattisgarh","Surguja","12530","22083","31.49","33.25","11094","18192","27.88","27.39","16164","26149","40.62","39.37","39789","66424","28"
"6","2012 (2004)","14","Chhattisgarh","Surguja","13376","25862","31.55","33.93","11659","20047","27.5","26.3","17360","30310","40.95","39.77","42396","76220","32"
"6","2013 (2004)","14","Chhattisgarh","Surguja","13365","27222","29.69","31.51","12576","23178","27.94","26.83","19071","36004","42.37","41.67","45011","86404","35"
