DIST,YEAR,FEMALE_age_ 6YRS_ATTEND_SCHOOL,CHILDREN_below_5YRS_birth REGISTERED,HOUSEHOLD_USING_IODIZED_SALT,HOUSEHOLD_COVERED_ANY_HEALTH_SCHEME,WOMEN_10YRS_OR_MORE_SCHOOLING,MOTHER_ANTENATAL_CHECKUP,PREGNANT_TIME_CONSUMED_FOLIC_ACID,MOTHER_ANTENATAL_FULLCARE,CHILDREN_UNDER_5_YRS_STUNTED,CHILDREN_UNDER_5_YRS_WASTING,CHILDREN_UNDER_5_YRS_SEVERELY_WASTING,CHILDREN_UNDER_5_YRS_UNDER_WEIGHT,WOMEN_BMI_BELOW_NORMAL,MEN_BMI_BELOW_NORMAL,WOMEN_BMI_OVERWEIGHT,MEN_BMI_OVERWEIGHT,CHILDREN_ANAEMIC_6_59_MONTHS,WOMEN_ANAEMIC_15_49_YEARS,WOMEN_HIGH_BLOOD_SUGAR,MEN_HIGH_BLOOD_SUGAR,WOMEN_MODERATELY_HYPERTENSION,MEN_MODERATELY_HYPERTENSION
135,2015,65.8,92.5,97.6,20.2,32.4,80.3,43.1,41,34.6,23.5,4.2,31.4,20,18.3,30.3,23.6,65.4,47,6.7,7.4,0.4,0
538,2015,51.9,75,94.2,9.2,16.7,68.2,7.8,4.5,39.6,29.4,11.2,39.5,31.2,30.4,11.1,5.9,76.5,63.3,4,2.7,0.3,0
100,2015,63.1,95.6,96.1,23.7,21.5,52.3,12.1,9.5,42.1,30.2,11.5,51.1,31.9,26.1,9.3,16.7,68.6,53.3,5.1,8.2,1.3,2.7
1016,2015,77.6,95.3,80.3,42.8,47.3,74.9,35.4,32.4,19.1,21.5,4.6,19.8,30.1,21.5,19,17.7,55.4,44.4,5.4,7.8,2.9,1.2
61,2015,55.3,79,99.3,75.6,29.6,83.4,57.2,45.3,30.1,14.5,4.4,23.1,23.8,25.2,23.1,18.2,70.7,72.3,7.4,7.6,1.6,3.3
630,2015,71.2,95.4,99.7,26.2,57.6,82.2,49.8,35.2,18.4,12.4,5.4,15.9,13.2,18.6,27.6,22,83.1,80.8,3.8,6.4,2.2,5
149,2015,52.1,65.6,91.8,9.7,22.8,71.6,9.5,6.2,47.8,39.1,16.4,55.1,39.3,23.9,4.7,6,76.5,73.6,4.4,5.4,0.9,0.7
940,2015,54.7,59.9,96.7,9.1,16.7,61.9,19.9,8,45.7,23.4,5.5,46.3,42.3,29.7,4.3,6.5,64.5,57.4,7.4,12,1.1,1.7
190,2015,64.5,62.4,92,3,30,62.3,18.9,9.3,43.6,19.8,7,38.4,23.9,24.8,19.1,4.7,77.9,64.9,6.5,8.7,1,0
803,2015,69.6,98.3,94.4,40.3,18.7,72.8,35.7,32.2,23.7,10.8,2.7,19.6,12.6,18.6,20.1,9.7,38.1,58,5.8,13.7,1.1,0.9
636,2015,71.8,94.2,98.7,24.7,45.5,69.6,47.5,30.2,24.7,20.4,7.4,27.8,21.8,20.5,23,21.5,63.9,45.4,5.6,4.7,1.8,4.8
725,2015,77.9,90.2,93.3,52.1,30.4,70,31.4,15.2,24.8,12.7,2.2,19.8,19.2,12.7,25.7,19.7,24.6,46.7,8.3,9.8,1,2
943,2015,56.1,78.9,99.3,18.8,21.1,42.8,10.6,5.6,50.2,48,21.3,62.6,28,16.4,6.5,8.7,73.7,74.8,4.6,6.5,1.4,0.6
86,2015,66.7,100,85.7,78.5,47.4,64.8,61.3,50.7,29.5,16.8,7.7,18.7,12.8,14.4,23.8,30.6,43.9,57.1,6.9,10.6,1.5,2
234,2015,60,62.3,92.6,7.7,31,34.6,9.6,4.2,46.9,19.6,6.4,40.3,31.2,27.2,12.3,12.6,66.5,57.8,3.8,7.5,1.3,0
56,2015,48.1,82.7,95.4,73.8,28.1,68.5,48.7,34.6,37.3,22.1,5.3,38.2,29.7,23.3,15.8,26.2,70.2,55.4,5.7,4.7,1.1,1.7
62,2015,48.1,82.7,95.4,73.8,28.1,68.5,48.7,34.6,37.3,22.1,5.3,38.2,29.7,23.3,15.8,26.2,70.2,55.4,5.7,4.7,1.1,1.7
241,2015,64.1,66.6,92.8,32.5,37,42.5,27.7,9.4,36.2,40.1,24,41.4,17.1,14.4,10.3,7.5,76.3,52.6,4.3,10.4,0.8,2.8
2012,2015,46.4,62.3,95,10.5,13.8,54.2,30.1,16.4,47,39.2,15.8,55.5,36.2,17.7,5.9,5.9,76.9,65.1,3.5,4.6,0.8,0
521,2015,66.9,99,69.8,62.9,40,51.9,54.9,33.4,24.5,36.5,20.1,35.5,19.2,7.8,26.1,29.8,57.7,61.4,5.4,12,1,1
2028,2015,89.5,97.9,99.9,18.7,52.7,67.4,47.7,30.9,23.3,10.1,1.9,22.7,16.2,15.2,27.5,29.7,32.9,54.8,6.9,4.5,0.9,1.5
662,2015,88,97.4,92.4,43.5,61.8,99.1,64.9,61.5,19,10.1,3.8,9.9,12.2,7.3,23.7,18.4,42.5,36,9,9.4,1.1,1.9
209,2015,57.6,52.5,95.9,0.9,31.4,39.4,5,1.4,51.7,15,5.9,40.4,31.4,24.8,9.4,8,42,40.2,2.2,4.5,0.5,0.9
