Key,Dist Code,Year,State Code,State Name,Dist Name,RICE HARVEST PRICE (Rs per Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),PEARL MILLET HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),FINGER MILLET HARVEST PRICE (Rs per Quintal),BARLEY HARVEST PRICE (Rs per Quintal),CHICKPEA HARVEST PRICE (Rs per Quintal),PIGEONPEA HARVEST PRICE (Rs per Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SEASMUM HARVEST PRICE (Rs per Quintal),RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal),CASTOR HARVEST PRICE (Rs per Quintal),LINSEED HARVEST PRICE (Rs per Quintal),SUGARCANE GUR HARVEST PRICE (Rs per Quintal),COTTON KAPAS HARVEST PRICE (Rs per Quintal)
5199214,5,1992,14,Chhattisgarh,Raigarh,436,263,364,-1,-1,297,-1,-1,950,792,923,1008,1046,-1,-1,680,-1
5199314,5,1993,14,Chhattisgarh,Raigarh,495,298,465,-1,-1,318,-1,-1,1116,1024,935,1138,953,-1,-1,1077,-1
5199414,5,1994,14,Chhattisgarh,Raigarh,534,322,440,-1,-1,500,-1,-1,1144,1233,1192,1918,1230,-1,-1,1240,-1
5199514,5,1995,14,Chhattisgarh,Raigarh,806,492,557,407,387,335,464,342,1135,1398,1242,1681,1091,-1,1091,1002,690
5199614,5,1996,14,Chhattisgarh,Raigarh,873,-1,667,498,-1,441,-1,-1,1488,1375,1188,1289,1178,-1,1234,1009,-1
5199714,5,1997,14,Chhattisgarh,Raigarh,1006,418,579,424,336,479,559,430,1663,1535,1091,2080,1311,1034,1616,1519,560
5199814,5,1998,14,Chhattisgarh,Raigarh,-1,-1,798,-1,-1,448,1000,-1,1321,1666,1497,1850,1643,-1,-1,1491,-1
5199914,5,1999,14,Chhattisgarh,Raigarh,-1,483,864,-1,-1,655,1000,-1,-1,1472,1303,1787,-1,-1,-1,1386,-1
5200014,5,2000,14,Chhattisgarh,Raigarh,-1,506,843,-1,-1,470,-1,-1,1787,1379,1340,1636,1844,-1,-1,1345,-1
5200114,5,2001,14,Chhattisgarh,Raigarh,-1,366,801,-1,-1,550,-1,-1,1962,-1,1288,1899,-1,-1,-1,1525,-1
5200214,5,2002,14,Chhattisgarh,Raigarh,-1,441,823,-1,-1,556,-1,-1,1954,1386,1357,1955,2262,-1,-1,1399,-1
5200314,5,2003,14,Chhattisgarh,Raigarh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5200414,5,2004,14,Chhattisgarh,Raigarh,857,533,794,-1,522,-1,-1,-1,1559,1519,1920,3053,2298,-1,-1,1672,-1
5200514,5,2005,14,Chhattisgarh,Raigarh,911,584,877,-1,-1,-1,-1,-1,2247,1845,1465,2661,2383,-1,-1,1875,-1
5200614,5,2006,14,Chhattisgarh,Raigarh,997,615,1169,-1,-1,619,-1,-1,2713,2268,1261,3017,2336,-1,-1,-1,-1
5200714,5,2007,14,Chhattisgarh,Raigarh,1045,733,1469,-1,-1,963,-1,-1,2973,2934,1889,3004,3018,-1,-1,-1,-1
5200814,5,2008,14,Chhattisgarh,Raigarh,1211,899,1330,-1,-1,967,-1,-1,3217,3158,2144,4736,3509,-1,-1,2226,-1
5200914,5,2009,14,Chhattisgarh,Raigarh,1680,1035,1715,-1,-1,1389,-1,-1,3033,4625,2806,5974,7749,-1,-1,2824,-1
5201014,5,2010,14,Chhattisgarh,Raigarh,1520,1240,-1,-1,-1,1000,-1,-1,-1,4500,2954,5160,5500,-1,-1,3782,-1
