Key,Dist Code,Year,State Code,State Name,Dist Name,DIESEL PUMPSETS NUMBER (1000 Number),DIESEL PUMPSETS DENSITY (Per 1000 ha),ELECTRIC PUMPSETS NUMBER (1000 Number),ELECTRIC PUMPSETS DENSITY (Per 1000 ha),POWER TILLER NUMBER (1000 Number),POWER TILLER DENSITY (Per 1000 ha),TRACTORS NUMBER (1000 Number),TRACTORS DENSITY (Per 1000 ha)
4419921,44,1992,1,Andhra Pradesh,Srikakulam,5.36,158.87,6.26,185.46,0.01,0.42,0.66,19.51
4419991,44,1999,1,Andhra Pradesh,Srikakulam,6.25,200.39,7.27,233.07,0.06,1.89,1.15,36.85
4420031,44,2003,1,Andhra Pradesh,Srikakulam,5.73,192.65,5.93,199.38,0.07,2.29,0.82,27.6
4420071,44,2007,1,Andhra Pradesh,Srikakulam,-1,-1,0.27,8.31,-1,-1,0.73,22.25
4519921,45,1992,1,Andhra Pradesh,Visakhapatnam,3.35,95.79,8.69,248.27,0.02,0.54,0.41,11.68
4519991,45,1999,1,Andhra Pradesh,Visakhapatnam,3.68,113.85,8.01,247.73,0.06,1.95,0.95,29.37
4520031,45,2003,1,Andhra Pradesh,Visakhapatnam,3.02,102.86,7.24,246.98,0.15,5.01,0.47,15.92
4520071,45,2007,1,Andhra Pradesh,Visakhapatnam,-1,-1,1.8,57.71,-1,-1,0.23,7.21
4619921,46,1992,1,Andhra Pradesh,East Godavari,7.25,162.77,11.95,268.38,0.67,14.97,4.3,96.61
4619991,46,1999,1,Andhra Pradesh,East Godavari,7.93,182.48,16,368.48,1.17,26.96,5.62,129.38
4620031,46,2003,1,Andhra Pradesh,East Godavari,14.06,327.94,20.52,478.71,0.07,1.52,4.49,104.83
4620071,46,2007,1,Andhra Pradesh,East Godavari,-1,-1,0.13,2.95,-1,-1,3.95,90.17
4719921,47,1992,1,Andhra Pradesh,West Godavari,6.43,146.07,35.87,814.85,0.25,5.63,5.5,125.01
4719991,47,1999,1,Andhra Pradesh,West Godavari,4.75,106.28,28.34,634.43,0.61,13.72,7.45,166.86
4720031,47,2003,1,Andhra Pradesh,West Godavari,7.39,164.86,21.27,474.92,0.37,8.22,5.91,131.93
4720071,47,2007,1,Andhra Pradesh,West Godavari,-1,-1,0.44,10.01,-1,-1,6.55,148.39
