Key,State code,State name,District code,District name, Year, Purpose,Co-operative Number,Co-operative Capacity Mton,Public Number,Public Capacity Mton,Private Number,Private Capacity Mton,Total Number,Total Capacity Mton,
9720097,7,Maharashtra,97,Raigad ,2009,Meat ,.,.,.,.,2,981,2,981,
9820097,7,Maharashtra,98,Ratnagiri .,2009,Dairy Product ,.,.,1,10,.,.,1,10,
9820097,7,Maharashtra,98,Ratnagiri .,2009,Dairy Products,.,.,.,.,1,13,1,13,
9820097,7,Maharashtra,98,Ratnagiri .,2009,Dairy Products ,.,.,1,33,.,.,1,33,
9820097,7,Maharashtra,98,Ratnagiri .,2009,Marine Products,1,221,.,.,2,686,3,907,
9820097,7,Maharashtra,98,Ratnagiri .,2009,Marine Products ,.,.,.,.,2,356,2,356,
9920097,7,Maharashtra,99,Nasik ,2009,Dairy Products,.,.,1,92,1,88,2,180,
9920097,7,Maharashtra,99,Nasik ,2009,Dairy Products ,.,.,.,.,1,611,1,611,
9920097,7,Maharashtra,99,Nasik ,2009,Fruit & Vegetable ,.,.,.,.,1,600,1,600,
9920097,7,Maharashtra,99,Nasik ,2009,Fruits & Vegetables,.,.,.,.,2,1776,2,1776,
9920097,7,Maharashtra,99,Nasik ,2009,Grapes,5,817,.,.,12,965,17,1782,
9920097,7,Maharashtra,99,Nasik ,2009,Grapes ,3,482,.,.,31,4207,34,4689,
9920097,7,Maharashtra,99,Nasik ,2009,Grapes  & Fruits ,.,.,.,.,1,529,1,529,
9920097,7,Maharashtra,99,Nasik ,2009,"Grapes, Strawberry",.,.,.,.,1,1050,1,1050,
9920097,7,Maharashtra,99,Nasik ,2009,Multipurpose,1,941,.,.,2,821,3,1762,
9920097,7,Maharashtra,99,Nasik ,2009,Multi-Purpose,.,.,.,.,1,1100,1,1100,
9920097,7,Maharashtra,99,Nasik ,2009,(Blank),.,.,.,.,.,.,0,0,
10020097,7,Maharashtra,100,Dhulia ,2009,Dairy Products,.,.,1,396,.,.,1,396,
